6.295 4.388 100000 100000 100000 100000 100000 100000 100000 15.702 -4.012 0 0 0 0 0 0 0 0.5940995 5397
6.313 100000 100000 100000 100000 100000 100000 100000 100000 17.031 0 0 0 0 0 0 0 0 0.44413185 5503
6.29 3.27 100000 100000 100000 100000 100000 100000 100000 16.462 -8.827 0 0 0 0 0 0 0 0.5202906 5610
6.306 100000 100000 100000 100000 100000 100000 100000 100000 15.629 0 0 0 0 0 0 0 0 0.5560374 5716
6.32 100000 100000 100000 100000 100000 100000 100000 100000 16.864 0 0 0 0 0 0 0 0 0.54453206 5823
6.316 100000 100000 100000 100000 100000 100000 100000 100000 16.41 0 0 0 0 0 0 0 0 0.51176405 5929
6.314 100000 100000 100000 100000 100000 100000 100000 100000 16.861 0 0 0 0 0 0 0 0 0.4306829 6035
6.308 4.308 3.163 100000 100000 100000 100000 100000 100000 15.697 -2.581 -7.007 0 0 0 0 0 0 0.46790957 6142
6.289 100000 100000 100000 100000 100000 100000 100000 100000 15.138 0 0 0 0 0 0 0 0 0.4729898 6248
6.319 100000 100000 100000 100000 100000 100000 100000 100000 15.24 0 0 0 0 0 0 0 0 0.36645365 6355
6.292 3.302 100000 100000 100000 100000 100000 100000 100000 14.212 -9.202 0 0 0 0 0 0 0 0.48624635 6461
6.281 100000 100000 100000 100000 100000 100000 100000 100000 12.537 0 0 0 0 0 0 0 0 0.3576541 6567
6.271 5.814 100000 100000 100000 100000 100000 100000 100000 9.34 2.572 0 0 0 0 0 0 0 0.42285204 6674
6.265 5.777 100000 100000 100000 100000 100000 100000 100000 9.042 2.792 0 0 0 0 0 0 0 0.35609674 6780
6.256 5.81 2.75 100000 100000 100000 100000 100000 100000 9.374 3.209 -10.383 0 0 0 0 0 0 0.44703722 6887
6.252 100000 100000 100000 100000 100000 100000 100000 100000 10.776 0 0 0 0 0 0 0 0 0.52159905 6993
6.31 100000 100000 100000 100000 100000 100000 100000 100000 13.465 0 0 0 0 0 0 0 0 0.4877336 7099
6.304 100000 100000 100000 100000 100000 100000 100000 100000 11.64 0 0 0 0 0 0 0 0 0.3761134 7206
6.289 2.895 100000 100000 100000 100000 100000 100000 100000 10.715 -10.727 0 0 0 0 0 0 0 0.39644408 7312
6.244 100000 100000 100000 100000 100000 100000 100000 100000 9.708 0 0 0 0 0 0 0 0 0.36027288 7418
6.251 100000 100000 100000 100000 100000 100000 100000 100000 9.409 0 0 0 0 0 0 0 0 0.32959533 7525
6.201 100000 100000 100000 100000 100000 100000 100000 100000 11.389 0 0 0 0 0 0 0 0 0.4052179 7631
6.233 2.919 100000 100000 100000 100000 100000 100000 100000 12.342 -9.506 0 0 0 0 0 0 0 0.45260644 7738
6.28 4.343 100000 100000 100000 100000 100000 100000 100000 8.391 -2.537 0 0 0 0 0 0 0 0.40980935 7844
6.28 100000 100000 100000 100000 100000 100000 100000 100000 12.835 0 0 0 0 0 0 0 0 0.47083855 7950
6.301 2.739 100000 100000 100000 100000 100000 100000 100000 12.869 -10.887 0 0 0 0 0 0 0 0.5003853 8057
6.287 100000 100000 100000 100000 100000 100000 100000 100000 11.42 0 0 0 0 0 0 0 0 0.40899873 8163
6.373 100000 100000 100000 100000 100000 100000 100000 100000 9.565 0 0 0 0 0 0 0 0 0.43903232 8270
5.66 100000 100000 100000 100000 100000 100000 100000 100000 3.38 0 0 0 0 0 0 0 0 0.45440078 8376
6.551 5.647 100000 100000 100000 100000 100000 100000 100000 2.659 -0.407 0 0 0 0 0 0 0 0.37284017 8482
6.321 3.854 100000 100000 100000 100000 100000 100000 100000 5.319 -6.855 0 0 0 0 0 0 0 0.4063778 8589
5.631 3.864 100000 100000 100000 100000 100000 100000 100000 3.503 -5.494 0 0 0 0 0 0 0 0.39857602 8695
6.566 5.606 100000 100000 100000 100000 100000 100000 100000 3.866 1.059 0 0 0 0 0 0 0 0.42595148 8802
6.317 2.549 100000 100000 100000 100000 100000 100000 100000 6.631 -12.789 0 0 0 0 0 0 0 0.30914807 8908
6.278 100000 100000 100000 100000 100000 100000 100000 100000 5.622 0 0 0 0 0 0 0 0 0.33724523 9014
6.345 2.36 100000 100000 100000 100000 100000 100000 100000 5.846 -14.415 0 0 0 0 0 0 0 0.2679708 9121
6.315 5.633 4.092 100000 100000 100000 100000 100000 100000 4.322 1.618 -6.484 0 0 0 0 0 0 0.34719658 9227
6.405 5.689 100000 100000 100000 100000 100000 100000 100000 6.894 3.846 0 0 0 0 0 0 0 0.3155048 9333
6.261 100000 100000 100000 100000 100000 100000 100000 100000 7.012 0 0 0 0 0 0 0 0 0.3237815 9440
6.266 100000 100000 100000 100000 100000 100000 100000 100000 4.049 0 0 0 0 0 0 0 0 0.36720896 9546
6.244 100000 100000 100000 100000 100000 100000 100000 100000 -0.464 0 0 0 0 0 0 0 0 0.36149287 9653
6.203 100000 100000 100000 100000 100000 100000 100000 100000 2.522 0 0 0 0 0 0 0 0 0.29679513 9759
6.223 100000 100000 100000 100000 100000 100000 100000 100000 0.642 0 0 0 0 0 0 0 0 0.38715672 9865
5.866 2.937 100000 100000 100000 100000 100000 100000 100000 1.524 -9.652 0 0 0 0 0 0 0 0.3458526 9972
5.945 2.938 100000 100000 100000 100000 100000 100000 100000 -6.046 -9.098 0 0 0 0 0 0 0 0.32800508 10078
5.898 100000 100000 100000 100000 100000 100000 100000 100000 -0.501 0 0 0 0 0 0 0 0 0.3652563 10185
5.92 4.932 100000 100000 100000 100000 100000 100000 100000 -0.606 -8.243 0 0 0 0 0 0 0 0.38808537 10291
5.733 3.013 100000 100000 100000 100000 100000 100000 100000 -1.876 -9.087 0 0 0 0 0 0 0 0.38808537 10397
2.493 100000 100000 100000 100000 100000 100000 100000 100000 -12.502 0 0 0 0 0 0 0 0 0.24137998 10504
2.932 100000 100000 100000 100000 100000 100000 100000 100000 -10.154 0 0 0 0 0 0 0 0 0.35373712 10610
